"M1_BL","M1_MD","M2_BL","M2_MD","P4_BL","specimen_id","taxon","simulation","true_n_species","expected_accuracy"
16.7814125654755,15.3910489542829,17.2980274748013,15.5809502232624,10.8697548929288,"Species_A_1","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.0992160717335,15.5203617513791,16.8143588979419,16.8052825819953,11.1451897938488,"Species_A_2","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.4753073027578,15.7133796257504,17.2110239062038,16.6735200234362,11.1898187461633,"Species_A_3","Species_A","SIM2_Moderate_Separation",3,"75-85%"
14.3224308663175,13.1615425236374,14.81118600841,15.2037635576538,9.27128468503083,"Species_A_4","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.8585833380952,15.7305289546585,18.0414715639522,16.3564632408275,11.6601851694702,"Species_A_5","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.7545148852562,15.9368044460883,15.883425149894,15.8383707101668,10.6354492409711,"Species_A_6","Species_A","SIM2_Moderate_Separation",3,"75-85%"
17.1541489595496,15.0694591340253,17.6593554583673,15.1737716470263,11.3379021489544,"Species_A_7","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.2034291994543,15.0464248233894,16.6949728433958,15.7304387935248,10.9141502843677,"Species_A_8","Species_A","SIM2_Moderate_Separation",3,"75-85%"
15.8636394069054,15.2308995308639,17.1863923867475,16.1829064934807,10.894067956217,"Species_A_9","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.0626554772374,13.5348434084955,15.4187877641827,14.4956559288352,10.4439378870348,"Species_A_10","Species_A","SIM2_Moderate_Separation",3,"75-85%"
15.4273849470953,14.3384113819603,17.1425484937841,16.3488566738472,10.6248004399319,"Species_A_11","Species_A","SIM2_Moderate_Separation",3,"75-85%"
17.6175349321062,15.9577962635667,18.3268769304751,17.0927447227581,12.7450589002076,"Species_A_12","Species_A","SIM2_Moderate_Separation",3,"75-85%"
15.43006907919,15.1057349642185,16.0975101637889,15.6222789033368,10.2257461756305,"Species_A_13","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.385684902411,15.4759280930439,17.3909033285687,15.4844757990202,11.3670108539316,"Species_A_14","Species_A","SIM2_Moderate_Separation",3,"75-85%"
15.8549381867863,13.9052365022032,15.751150603673,14.7176586602351,11.0897801397933,"Species_A_15","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.6235106216175,15.1430980264908,16.6932244755994,15.2537673268867,12.2387635540554,"Species_A_16","Species_A","SIM2_Moderate_Separation",3,"75-85%"
16.1794681442928,14.0803256655194,16.7183260774207,14.8807533714261,10.9070052316788,"Species_A_17","Species_A","SIM2_Moderate_Separation",3,"75-85%"
15.9911940969227,14.3427634350525,15.8532312256418,15.0958136990889,11.2297567845575,"Species_A_18","Species_A","SIM2_Moderate_Separation",3,"75-85%"
